Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
acer,notebook,15 3/5,1366x768,amd a9-series 9420 3ghz,4gb,500gb hdd,amd radeon r5,windows 10,2.1kg,21312
acer,ultrabook,14,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows 10,1.6kg,41025.6
acer,notebook,15 3/5,1366x768,intel core i3 7130u 2.7ghz,4gb,1tb hdd,intel hd graphics 620,linux,2.1kg,19553.76
acer,notebook,15 3/5,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,4gb,256gb ssd,intel uhd graphics 620,windows 10,2.2kg,36336.96
acer,notebook,15 3/5,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,nvidia geforce mx150,windows 10,2.2kg,44808.48
acer,notebook,15 3/5,1366x768,intel core i3 7100u 2.4ghz,4gb,1tb hdd,intel hd graphics 620,windows 10,2.4kg,20459.52
acer,notebook,14,1366x768,intel core i3 6006u 2ghz,8gb,1tb hdd,intel hd graphics 520,windows 10,2.1kg,20725.92
acer,notebook,15 3/5,full hd 1920x1080,intel core i3 7130u 2.7ghz,4gb,1tb hdd,nvidia geforce mx130,windows 10,2.2kg,28238.4
acer,notebook,15 3/5,1366x768,amd a9-series 9420 3ghz,4gb,1tb hdd,amd radeon r5,windows 10,2.1kg,21045.6
acer,notebook,15 3/5,full hd 1920x1080,intel core i7 8550u 1.8ghz,2gb,1tb hdd,nvidia geforce mx150,windows 10,2.2kg,36709.92
acer,2 in 1 convertible,13 1/3,ips panel full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows 10,1.5kg,45128.16
acer,notebook,15 3/5,ips panel full hd / touchscreen 1920x1080,intel core i3 7100u 2.4ghz,6gb,1tb hdd,intel hd graphics 620,windows 10,2.1kg,25521.12
acer,notebook,15 3/5,1366x768,amd a9-series 9420 3ghz,4gb,256gb ssd,amd radeon r5,windows 10,2.1kg,24029.28
acer,ultrabook,14,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,intel uhd graphics 620,windows 10,1.6kg,47099.52
