school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian
gp,f,18.0,u,gt3,a,4.0,4.0,at_home,teacher,course,mother
gp,f,17.0,u,gt3,t,1.0,1.0,at_home,other,course,father
gp,f,15.0,u,le3,t,1.0,1.0,at_home,other,other,mother
gp,f,15.0,u,gt3,t,4.0,2.0,health,services,home,mother
gp,f,16.0,u,gt3,t,3.0,3.0,other,other,home,father
gp,m,16.0,u,le3,t,4.0,3.0,services,other,reputation,mother
gp,m,16.0,u,le3,t,2.0,2.0,other,other,home,mother
gp,f,17.0,u,gt3,a,4.0,4.0,other,teacher,home,mother
gp,m,15.0,u,le3,a,3.0,2.0,services,other,home,mother
gp,m,15.0,u,gt3,t,3.0,4.0,other,other,home,mother
gp,f,15.0,u,gt3,t,4.0,4.0,teacher,health,reputation,mother
gp,f,15.0,u,gt3,t,2.0,1.0,services,other,reputation,father
gp,m,15.0,u,le3,t,4.0,4.0,health,services,course,father
gp,m,15.0,u,gt3,t,4.0,3.0,teacher,other,course,mother
gp,m,15.0,u,gt3,a,2.0,2.0,other,other,home,other
gp,f,16.0,u,gt3,t,4.0,4.0,services,services,reputation,mother
gp,f,16.0,u,gt3,t,3.0,3.0,other,other,reputation,mother
gp,m,17.0,u,gt3,t,3.0,2.0,services,services,course,mother
gp,m,16.0,u,le3,t,4.0,3.0,health,other,home,father
gp,m,15.0,u,gt3,t,4.0,3.0,teacher,other,reputation,mother
gp,m,15.0,u,gt3,t,4.0,4.0,health,health,other,father
gp,m,16.0,u,le3,t,4.0,2.0,teacher,other,course,mother
gp,m,16.0,u,le3,t,2.0,2.0,other,other,reputation,mother
gp,f,15.0,r,gt3,t,2.0,4.0,services,health,course,mother
gp,f,16.0,u,gt3,t,2.0,2.0,services,services,home,mother
gp,m,15.0,u,gt3,t,2.0,2.0,other,other,home,mother
gp,m,15.0,u,gt3,t,4.0,2.0,health,services,other,mother
gp,m,16.0,u,le3,a,3.0,4.0,services,other,home,mother
gp,m,16.0,u,le3,a,3.0,4.0,services,other,home,mother
gp,m,16.0,u,le3,a,3.0,4.0,services,other,home,mother
gp,m,16.0,u,le3,a,3.0,4.0,services,other,home,mother
